rank	char	frequency_weight
5427	钲	5.051503584395662e-07
5428	歃	5.041202941404102e-07
5429	盱	5.041058647552198e-07
5430	泮	5.030493465832147e-07
5431	崮	5.000760918282268e-07
5432	鲵	4.97077886261347e-07
5433	瘘	4.960186625796189e-07
5434	苫	4.941313859913995e-07
5435	粳	4.940559323313416e-07
5436	葶	4.93145511684389e-07
5437	龢	4.921103369779779e-07
5438	燊	4.911175485905636e-07
5439	芾	4.901004106156407e-07
5440	聃	4.900904904133222e-07
5441	寤	4.900652389892391e-07
5442	赍	4.881265577162791e-07
5443	颎	4.871403827970771e-07
5444	鸶	4.871349717776307e-07
5445	楸	4.870934872952084e-07
5446	莜	4.820943737317354e-07
5447	薮	4.820820486318853e-07
5448	骝	4.801295391981179e-07
5449	妣	4.80097974918014e-07
5450	洄	4.800739259426968e-07
5451	縻	4.790946651038984e-07
5452	绀	4.790450640923066e-07
5453	欤	4.781376495672686e-07
5454	乩	4.761078828002944e-07
5455	筮	4.750793215620957e-07
5456	拊	4.74120502352317e-07
5457	闼	4.74120502352317e-07
5458	犰	4.730886343800122e-07
5459	鲷	4.710270027207427e-07
5460	甑	4.701006496276423e-07
5461	祧	4.691289040936306e-07
5462	雠	4.681180789747284e-07
5463	簋	4.670444259078097e-07
5464	蘼	4.650549411744921e-07
5465	眬	4.641361033861783e-07
5466	笫	4.640982262500537e-07
5467	莛	4.63140008264658e-07
5468	椟	4.610531251813054e-07
5469	桡	4.610377939595406e-07
5470	钡	4.590624379992218e-07
5471	娌	4.581030175650602e-07
5472	骺	4.570116283788451e-07
5473	沭	4.551066156713294e-07
5474	闿	4.541168334058297e-07
5475	恚	4.541057107547455e-07
5476	砀	4.521026984728119e-07
5477	窨	4.520642201123042e-07
5478	篦	4.510885666198035e-07
5479	箪	4.510711311126984e-07
5480	鳜	4.500467784451802e-07
5481	彀	4.491183210667396e-07
5482	黟	4.481156124770069e-07
5483	氖	4.48115011252624e-07
5484	茼	4.460629991834814e-07
5485	犴	4.4512822894902e-07
5486	搠	4.451216154808078e-07
5487	陉	4.441143977082031e-07
5488	恂	4.431177013622997e-07
5489	镞	4.421225080773537e-07
5490	檫	4.421095817531207e-07
5491	鄯	4.421095817531207e-07
5492	猡	4.411110817340685e-07
5493	烺	4.381249006548475e-07
5494	飏	4.381188884110182e-07
5495	玎	4.361282012289346e-07
5496	啉	4.350422230621659e-07
5497	鬈	4.341254895591925e-07
5498	奁	4.341155693568741e-07
5499	沤	4.330849038333351e-07
5500	愍	4.330665664896557e-07
5501	筇	4.321242809504076e-07
5502	萘	4.320623548389657e-07
5503	竦	4.301119496905385e-07
5504	柞	4.30090906837136e-07
5505	瓠	4.300656554130528e-07
5506	埼	4.290088366288563e-07
5507	彘	4.280890970039682e-07
5508	涫	4.271296765698066e-07
5509	葚	4.270695541315134e-07
5510	嵊	4.260394898323574e-07
5511	曷	4.250683455227286e-07
5512	殍	4.250626338910908e-07
5513	杌	4.231209464962161e-07
5514	禳	4.230962962965159e-07
5515	迨	4.230887809917293e-07
5516	穰	4.230857748698147e-07
5517	诹	4.230560142628595e-07
5518	搦	4.221113238260797e-07
5519	帑	4.221047103578675e-07
5520	笄	4.220815632191247e-07
5521	淦	4.210938852389652e-07
5522	貘	4.210818607513066e-07
5523	荩	4.191179280542635e-07
5524	扦	4.190707319402034e-07
5525	峄	4.181122133426162e-07
5526	腘	4.180091033609434e-07
5527	沔	4.170998851627566e-07
5528	骘	4.161089004484911e-07
5529	揿	4.151179157342256e-07
5530	癯	4.151173145098427e-07
5531	鹬	4.150956704320571e-07
5532	鲟	4.130442595872975e-07
5533	謇	4.120983667017519e-07
5534	螈	4.120364405903099e-07
5535	氙	4.120060787589719e-07
5536	郧	4.110992654583168e-07
5537	倥	4.110875415828496e-07
5538	漯	4.110670999538299e-07
5539	忺	4.101239125780075e-07
5540	苁	4.091055721543186e-07
